year,avg(c.length)
201,15686.639896373057
1775,6.0
1776,15988.57142857143
1777,17686.8
1786,27844.666666666668
1787,25024.23076923077
1803,27854.0
1804,243340.375
1806,14838.0
1807,14884.0
1810,22115.5
1819,277272.5
1832,50617.0
1841,23305.0
1848,50516.0
1849,354103.3333333333
1854,354238.3333333333
1858,36649.0
1863,27674.4
1864,355251.3333333333
1867,355175.3333333333
1881,359230.3333333333
1883,359404.5
1890,360556.6666666667
1892,361100.6666666667
1893,367732.6666666667
1896,368529.6666666667
1898,370803.1666666667
1900,373387.6666666667
1901,26428.0
1905,32713.666666666668
1907,321767.4285714286
1909,376612.6666666667
1910,377082.6666666667
1914,4025.6666666666665
1915,378005.6666666667
1918,379046.6666666667
1919,298091.375
1920,2459.0
1921,294966.75
1922,382126.4285714286
1924,383577.6666666667
1926,25595.75
1927,319181.54545454547
1928,54545.0
1929,385730.6666666667
1930,386793.28571428574
1932,388097.6666666667
1933,356389.4
1934,251519.8
1935,48423.666666666664
1936,181877.875
1937,133888.75
1938,230445.83333333334
1939,138781.83333333334
1940,61927.0
1941,296647.5
1942,271946.86666666664
1943,186039.0
1944,45611.0
1945,234388.94444444444
1946,317686.875
1947,198877.0
1948,231262.92857142858
1949,123474.125
1950,157664.36363636365
1951,383817.6666666667
1952,3497.7727272727275
1953,540499.5
1954,746495.5625
1955,471742.8333333333
1956,471286.7659574468
1957,621762.0606060605
1958,378351.9718309859
1959,424512.17333333334
1960,424377.1475409836
1961,390954.1379310345
1962,243346.0
1963,539902.4523809524
1964,434759.04545454547
1965,384392.5925925926
1966,345901.7162162162
1967,411259.89361702127
1968,384613.375
1969,44375.65226337448
1970,207662.35899747215
1971,36257.492338058495
1972,23493.04841935236
1973,12098.925626044302
1974,95853.24855378615
1975,151934.7808219178
1976,67002.58923642214
1977,81644.62495615573
1978,60215.569698279505
1979,81887.18740097036
1980,46639.65224963191
1981,165762.69270106012
1982,92946.02717009104
1983,135921.73812663267
1984,169272.09264234218
1985,130629.79577867058
1986,154536.9920246867
1987,184889.4002767114
1988,172385.37053118303
1989,108762.32763440206
1990,133429.08309246547
1991,122353.50724830209
1992,138616.22560817495
1993,40102.087643803025
1994,62995.429452689146
1995,39774.338532519294
1996,59360.66542915964
1997,40735.14106477895
1998,35219.716117555065
1999,29886.786172246968
2000,28896.08228305128
2001,28452.332372397173
2002,26706.034201198097
2003,28590.150576365424
2004,29825.034812037014
2005,32720.387991354815
2006,36651.4381119157
2007,38593.974443608
2008,41084.2639302021
2009,47999.21271990787
2010,58200.4756497132
2011,63582.282377282616
2012,72286.6425779937
2013,82052.46469652433
2014,82689.60438567678
2015,83142.13024220658
2016,80804.33991465568
2017,95225.99091859312
2018,104696.90634188426
2019,111190.47176660021
2020,115533.4186524666
2021,127520.53795600068
2022,111842.1565622283
2023,135949.02489605872
2024,119899.30409864917
2025,124295.02567642677
2026,133773.55118367262
2027,168861.33551629924
2028,220139.3564528302
2029,13406.436619086095
2030,29383.070449272305
2031,29945.81183715361
2032,61632.77083574823
2033,61795.04552390641
2034,53800.33726998077
2035,56889.15256124722
2036,52352.368162083934
2037,64213.27101248266
2038,37768.73723182077
2039,37926.82064542822
2040,43330.13815335022
2041,43359.73862832901
2042,45727.24812909261
2043,46829.06605691057
2044,47799.20950704225
2045,51787.14731896075
2046,55552.85697741749
2047,61936.76296296297
2048,62008.13467589679
2049,63945.54461144867
2050,215665.14066049276
2051,65950.52693282637
2052,76694.09673873214
2053,26370.15713680644
2054,17776.118824531517
2055,18231.50765957447
2056,20979.86128364389
2057,15710.126284875183
2058,19158.00738150738
2059,30913.01411764706
2060,18610.364130434784
2061,16438.244594594595
2062,17937.665466006303
2063,15933.839151568714
2064,17416.997834560414
2065,18399.60052333188
2066,17783.475795900566
2067,17658.401571366216
2068,17974.002194907815
2069,58944.38626609442
2070,35418.18439716312
2071,33945.95430107527
2072,424.35530010065156
2073,343.7628717357278
2074,381.63188012020913
2075,373.66110770488456
2076,1013.524155481673
2077,3808.736092046831
2078,5083.711082484602
2079,5154.543594661552
2080,383.70353003964624
2081,401.1638695078258
2082,1746.8231522105973
2083,39872.200477326965
2084,53604.13481228669
2085,58062.22082018927
2086,33734.483018867926
2087,2689.5944444444444
2088,265.078313253012
2089,36.0
2090,38.036144578313255
2091,35.93939393939394
2092,35.93292682926829
2093,140.31952662721895
2094,160.725
2095,364.84393063583815
2096,328.0
2097,3661.909090909091
2098,1368.551912568306
