year,avg(c.length)
2099,10082.602490075786
2100,74565.06741573034
2102,100306.0
2103,5050.0
2104,17470.909090909092
2106,11264.299651567944
2107,2345.5
2108,42523.4
2109,1974.4444444444443
2111,16807.714285714286
2112,31624.666666666668
2114,11879.888888888889
2115,3184.285714285714
2116,10930.957142857143
2117,197972.60714285713
2118,59014.07692307692
2119,6660.777777777777
2120,24524.8
2121,72260.91666666667
2122,2389.0
2123,4477.0
2126,1132.0
2129,9582.5
2130,4035.5714285714284
2131,19871.666666666668
2132,47998.5
2133,1278.0
2134,77388.33333333333
2136,6562.0
2137,2499.5
2142,4654.4
2150,3469.0
2152,258107.3076923077
2154,4923.0
2157,17689.0
2158,381.5
2160,1693.5
2165,9737.631578947368
2171,1448.6666666666667
2181,7631.0
2188,479.6666666666667
2189,1684.0
2200,33.0
2206,2423.0
2208,4998.75
2211,12380.23076923077
2212,2989.0
2214,11493.0
2221,2522101.0
2222,3821764.018181818
2236,3178.3333333333335
2238,1937.0
2239,5656.583333333333
2244,16793.5
2245,3138.375
2253,6159.163636363636
2262,28.0
2286,4551.0
2299,830.0
2306,12600.0
2347,1010.0
2484,225198.0
2501,17.0
2514,11.0
2525,756101.25
2828,198656.0
4040,1027.0
