origin,visit
101369,1
101407,5
101455,1
101636,2
101867,5
102044,5
102252,3
102303,7
103379,3
103416,6
103473,6
103550,1
104067,5
104151,5
104323,4
104341,2
104589,2
104671,3
105199,5
105357,4
105548,3
105568,6
105615,5
105914,2
106356,5
106362,6
107070,1
107414,5
107426,6
107437,5
107486,4
107598,2
108022,2
108172,5
108250,5
108335,4
108664,2
108778,4
108854,5
109073,2
109209,2
109729,3
109876,4
109917,5
110199,5
110513,4
110629,5
110660,4
110711,5
110838,1
111106,9
111174,1
111750,3
111883,4
111931,3
112232,5
112747,3
112803,2
112821,2
112954,5
113120,5
114410,4
115019,6
115124,2
115135,2
115222,6
115740,4
116095,1
116143,6
116251,1
116332,4
116790,4
117023,10
117170,6
117218,4
117501,5
117612,6
117855,4
117889,2
118156,3
118321,1
118756,8
119167,3
119254,1
119679,2
120065,1
120104,1
120110,4
120269,2
120592,4
120829,3
120917,2
121140,4
121229,2
121280,3
121316,5
121416,4
121906,3
121984,1
122083,4
122380,5
122787,6
123107,3
123242,4
123612,2
123706,1
123954,3
124246,4
124337,2
124393,2
124486,6
125160,4
125309,2
126027,3
126523,4
126746,4
126813,5
127045,2
127147,1
127213,2
127255,1
127794,3
128243,6
128501,2
129003,2
129066,4
130170,4
130209,3
130442,4
130452,1
130540,6
130648,4
130796,4
130877,4
130998,5
131190,6
131383,5
131458,6
131980,2
132285,4
132336,4
132431,2
133297,1
133868,5
133960,6
134146,6
134349,6
134580,11
134766,5
135022,3
135073,5
135129,3
135496,4
135657,5
136121,6
136129,2
136440,4
136488,3
136759,5
136760,1
136893,6
137045,1
137144,5
137393,5
137814,8
138292,5
138689,1
138887,1
138990,3
140020,3
140136,2
140181,6
140752,5
140909,2
141055,1
141875,2
141932,1
142357,2
142531,5
142692,3
142874,6
142915,6
143021,3
143590,2
143651,10
143723,2
143757,6
143905,5
143942,5
144234,2
144337,12
144456,2
144458,3
144469,6
144626,3
144725,5
144800,2
144810,1
145306,5
145435,3
146190,11
146205,1
146268,2
146856,3
146944,1
146948,3
146984,5
147081,4
147094,4
147095,3
147283,2
147959,3
148114,2
148393,5
148636,6
148854,4
148860,5
148878,6
148947,1
148960,4
148994,3
149004,4
149160,1
149440,2
150076,1
150338,2
150461,6
150569,4
150949,5
151128,6
151363,3
151515,4
151538,2
151543,1
151572,4
151600,2
152065,1
152107,4
152194,3
152627,1
152654,1
152999,1
153120,4
153153,4
153183,6
153687,4
153725,4
153897,4
154246,1
154476,2
154643,2
154912,4
154934,2
155025,3
155100,3
155362,4
155439,2
155533,2
155641,4
156102,1
157679,3
157883,5
157915,6
158029,1
158096,1
158218,5
158628,2
158639,6
158683,5
158783,5
159066,1
